OBJECTID,CODIGO_ACCIDENTADO,FORMULARIO,FECHA_OCURRENCIA_ACC,HORA_OCURRENCIA_ACC,ANO_OCURRENCIA_ACC,MES_OCURRENCIA_ACC,DIA_OCURRENCIA_ACC,FECHA_HORA_ACC,DIRECCION,CLASE_ACC,LOCALIDAD,CODIGO_VEHICULO,CONDICION,MUERTE_POSTERIOR,FECHA_POSTERIOR_MUERTE,GENERO,EDAD,CONDICION_A,x,y
954913,2669170,A000693819,1512968400000,20:45:00,2017,DICIEMBRE,LUNES,1513043100000,KR 91-CL 129 02,CHOQUE,SUBA,2,CICLISTA,N,NA,MASCULINO,50,CICLISTA,-74.08941729399999,4.723705732999974
954947,2668348,A000692420,1512622800000,22:30:00,2017,DICIEMBRE,JUEVES,1512703800000,KR 89C-CL 37 S 19,ATROPELLO,KENNEDY,NA,PEATON,NA,NA,MASCULINO,52,PEATON,-74.16710680199998,4.6408333869999865
955018,2668415,A000693696,1512882000000,03:00:00,2017,DICIEMBRE,DOMINGO,1512892800000,KR 28-CL 40 2,CHOQUE,TEUSAQUILLO,1,MOTOCICLISTA,N,NA,MASCULINO,33,MOTOCICLISTA,-74.07848472199998,4.6302250649999905
955023,2668419,A000692693,1512795600000,15:25:00,2017,DICIEMBRE,SABADO,1512851100000,AV AVENIDA DEL SUR-KR 62B 02,VOLCAMIENTO,CIUDAD BOLIVAR,1,MOTOCICLISTA,N,NA,MASCULINO,26,MOTOCICLISTA,-74.153336879,4.5959801419999735
955090,2682859,A000759083,1518930000000,08:00:00,2018,FEBRERO,DOMINGO,1518958800000,AV AVENIDA DEL SUR-KR 68 02,CHOQUE,PUENTE ARANDA,1,MOTOCICLISTA,S,1519016400000,MASCULINO,44,MOTOCICLISTA,-74.13749999999999,4.595100000000002
955526,2693872,A000764087,1523077200000,13:40:00,2018,ABRIL,SABADO,1523126400000,CL 51-KR 11A 2,CHOQUE,RAFAEL URIBE URIBE,NA,PEATON,S,1523509200000,FEMENINO,17,PEATON,-74.12337926599997,4.55946600599998
955550,2693894,A000764837,1523077200000,20:15:00,2018,ABRIL,SABADO,1523150100000,CL 29-KR 29 2,CHOQUE,ANTONIO NARINO,NA,PEATON,S,1529384400000,SIN INFORMACION,NA,PEATON,-74.11337725300001,4.589857677999987
955809,2669185,A000694140,1513054800000,20:30:00,2017,DICIEMBRE,MARTES,1513128600000,CL 24-KR 82 02,CHOQUE,FONTIBON,2,MOTOCICLISTA,S,1513141200000,MASCULINO,34,MOTOCICLISTA,-74.12277149800002,4.669275798000001
956312,2682294,A000758041,1518670800000,06:36:00,2018,FEBRERO,JUEVES,1518694560000,AV AVENIDA BOYACA-CL 44B 2,ATROPELLO,KENNEDY,NA,PEATON,S,1518843600000,MASCULINO,57,PEATON,-74.14520074699999,4.59839789199998
956528,2694728,A000763842,1521176400000,06:00:00,2018,MARZO,VIERNES,1521198000000,CL 147-KR 9 60,CHOQUE,USAQUEN,2,CICLISTA,N,NA,MASCULINO,62,CICLISTA,-74.03270732300001,4.725702671000022
