OBJECTID;CODIGO_ACCIDENTADO;FORMULARIO;FECHA_OCURRENCIA_ACC;HORA_OCURRENCIA_ACC;ANO_OCURRENCIA_ACC;MES_OCURRENCIA_ACC;DIA_OCURRENCIA_ACC;FECHA_HORA_ACC;DIRECCION;CLASE_ACC;LOCALIDAD;CODIGO_VEHICULO;CONDICION;MUERTE_POSTERIOR;FECHA_POSTERIOR_MUERTE;GENERO;EDAD;CONDICION_A
1286492;2379383;A1423348;1,38959E+12;22:10:00;2014;ENERO;LUNES;1,38967E+12;AK 91-CL130D 02;OTRO;SUBA;1;CICLISTA;S;1,38968E+12;MASCULINO;72;CICLISTA
1286497;2379388;A1423099;1,38959E+12;21:40:00;2014;ENERO;LUNES;1,38967E+12;TR 49-AC68 S 02;ATROPELLO;CIUDAD BOLIVAR;NA;PEATON;S;1,40721E+12;MASCULINO;78;PEATON
1286534;2378927;A1421474;1,38933E+12;10:20:00;2014;ENERO;VIERNES;1,38937E+12;AC 63-KR70 02;CAIDA DE OCUPANTE;ENGATIVA;1;PASAJERO;NA;NA;MASCULINO;20;PASAJERO
1286625;2379081;A1423116;1,38942E+12;15:35:00;2014;ENERO;SABADO;1,38947E+12;KR 80-CL46 S 71;CHOQUE;KENNEDY;2;CICLISTA;NA;NA;MASCULINO;18;CICLISTA
1286860;2359738;A1393037;1,38112E+12;22:50:00;2013;OCTUBRE;LUNES;1,3812E+12;AV AVENIDA CIUDAD DE CALI-CL 37A S 28;ATROPELLO;KENNEDY;NA;PEATON;NA;NA;FEMENINO;30;PEATON
1287131;2378779;A1423275;1,38924E+12;12:00:00;2014;ENERO;JUEVES;1,38929E+12;AV AVENIDA PRIMERO DE MAYO-CL 38 38;CHOQUE;KENNEDY;1;CICLISTA;NA;NA;MASCULINO;60;CICLISTA
1287140;2378788;A1423020;1,38916E+12;17:00:00;2014;ENERO;MIERCOLES;1,38922E+12;CL 74D-KR80J S 03;CHOQUE;BOSA;2;CICLISTA;S;1,38924E+12;FEMENINO;19;CICLISTA
1287353;2364031;A1391161;1,38302E+12;22:20:00;2013;OCTUBRE;MARTES;1,3831E+12;KR 77J-CL70A S 11;CHOQUE;BOSA;2;CICLISTA;NA;NA;MASCULINO;64;CICLISTA
1287643;2360457;A1391147;1,38147E+12;6:05:00;2013;OCTUBRE;VIERNES;1,38149E+12;KR 82-CL69 S 02;CHOQUE;BOSA;1;MOTOCICLISTA;NA;NA;MASCULINO;27;MOTOCICLISTA
1287670;2360484;A1391149;1,38138E+12;15:00:00;2013;OCTUBRE;JUEVES;1,38144E+12;CL 130A-KR59B 61;ATROPELLO;SUBA;NA;PEATON;NA;NA;MASCULINO;102;PEATON
1287724;2360538;A1391148;1,38147E+12;21:20:00;2013;OCTUBRE;VIERNES;1,38154E+12;KR 68-CL 37 S 02;ATROPELLO;PUENTE ARANDA;NA;PEATON;NA;NA;MASCULINO;66;PEATON
1287905;2360721;A1426202;1,38173E+12;3:15:00;2013;OCTUBRE;LUNES;1,38174E+12;AV AVENIDA DE LAS AMERICAS-KR 78C 12;CHOQUE;KENNEDY;1;CONDUCTOR;S;1,3819E+12;MASCULINO;25;CONDUCTOR
1288473;2381072;A1427673;1,39037E+12;8:43:00;2014;ENERO;MIERCOLES;1,3904E+12;KR 77P-CL 49 S 35;ATROPELLO;KENNEDY;NA;PEATON;NA;NA;FEMENINO;78;PEATON
1288761;2365390;A1424156;1,38363E+12;7:20:00;2013;NOVIEMBRE;MARTES;1,38365E+12;AV AVENIDA SUBA-CL 95 02;ATROPELLO;BARRIOS UNIDOS;NA;PEATON;S;1,3838E+12;MASCULINO;26;PEATON
1289060;2380666;A1432735;1,39019E+12;8:00:00;2014;ENERO;LUNES;1,39022E+12;AV AVENIDA BOYACA-CL 37 46;CHOQUE;KENNEDY;2;CICLISTA;S;1,39114E+12;MASCULINO;25;CICLISTA
1289189;2380798;A1427514;1,39028E+12;8:50:00;2014;ENERO;MARTES;1,39031E+12;CL 72-KR57A 02;ATROPELLO;BARRIOS UNIDOS;NA;PEATON;S;1,39028E+12;MASCULINO;44;PEATON
1289307;2381920;A1428376;1,3908E+12;21:02:00;2014;ENERO;LUNES;1,39087E+12;AV AVENIDA BOYACA-DG 51A S 02;CHOQUE;TUNJUELITO;2;MOTOCICLISTA;S;1,39089E+12;MASCULINO;25;MOTOCICLISTA
1289508;2382121;A1427915;1,39089E+12;20:25:00;2014;ENERO;MARTES;1,39096E+12;CL 106-KR13A 02;CHOQUE;USAQUEN;2;MOTOCICLISTA;S;1,39106E+12;MASCULINO;50;MOTOCICLISTA
